ref_img_paths	test_img_path	ref_device_id	test_device_id	is_query_in_reference	is_same_device
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picBG_005.JPG	128	128	False	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picFG_025.JPG	128	128	True	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picBG_020.JPG	128	128	False	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picFG_001.JPG	128	128	True	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picBG_028.JPG	128	128	False	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picBG_050.JPG	128	128	False	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picFG_022.JPG	128	128	False	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picFG_028.JPG	128	128	False	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picFG_012.JPG	128	128	False	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picFG_032.JPG	128	128	True	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picFG_029.JPG	128	128	False	True
../../Dataset/Eurecom_128_picBG_016.JPG,../../Dataset/Eurecom_128_picFG_025.JPG,../../Dataset/Eurecom_128_picBG_015.JPG,../../Dataset/Eurecom_128_picFG_023.JPG,../../Dataset/Eurecom_128_picFG_001.JPG,../../Dataset/Eurecom_128_picBG_035.JPG,../../Dataset/Eurecom_128_picBG_025.JPG,../../Dataset/Eurecom_128_picBG_022.JPG,../../Dataset/Eurecom_128_picBG_049.JPG,../../Dataset/Eurecom_128_picFG_032.JPG	../../Dataset/Eurecom_128_picBG_001.JPG	128	128	False	True
